,NU_ANO_CENSO,NO_REGIAO,CO_REGIAO,NO_UF,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,IN_CAPITAL,TP_DIMENSAO,TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,TP_REDE,CO_IES,NO_CURSO,CO_CURSO,NO_CINE_ROTULO,CO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,CO_CINE_AREA_ESPECIFICA,NO_CINE_AREA_ESPECIFICA,CO_CINE_AREA_DETALHADA,NO_CINE_AREA_DETALHADA,TP_GRAU_ACADEMICO,IN_GRATUITO,TP_MODALIDADE_ENSINO,TP_NIVEL_ACADEMICO,QT_CURSO,QT_VG_TOTAL,QT_VG_TOTAL_DIURNO,QT_VG_TOTAL_NOTURNO,QT_VG_TOTAL_EAD,QT_VG_NOVA,QT_VG_PROC_SELETIVO,QT_VG_REMANESC,QT_VG_PROG_ESPECIAL,QT_INSCRITO_TOTAL,QT_INSCRITO_TOTAL_DIURNO,QT_INSCRITO_TOTAL_NOTURNO,QT_INSCRITO_TOTAL_EAD,QT_INSC_VG_NOVA,QT_INSC_PROC_SELETIVO,QT_INSC_VG_REMANESC,QT_INSC_VG_PROG_ESPECIAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_DIURNO,QT_ING_NOTURNO,QT_ING_VG_NOVA,QT_ING_VESTIBULAR,QT_ING_ENEM,QT_ING_AVALIACAO_SERIADA,QT_ING_SELECAO_SIMPLIFICA,QT_ING_EGR,QT_ING_OUTRO_TIPO_SELECAO,QT_ING_PROC_SELETIVO,QT_ING_VG_REMANESC,QT_ING_VG_PROG_ESPECIAL,QT_ING_OUTRA_FORMA,QT_ING_0_17,QT_ING_18_24,QT_ING_25_29,QT_ING_30_34,QT_ING_35_39,QT_ING_40_49,QT_ING_50_59,QT_ING_60_MAIS,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_MAT,QT_MAT_FEM,QT_MAT_MASC,QT_MAT_DIURNO,QT_MAT_NOTURNO,QT_MAT_0_17,QT_MAT_18_24,QT_MAT_25_29,QT_MAT_30_34,QT_MAT_35_39,QT_MAT_40_49,QT_MAT_50_59,QT_MAT_60_MAIS,QT_MAT_BRANCA,QT_MAT_PRETA,QT_MAT_PARDA,QT_MAT_AMARELA,QT_MAT_INDIGENA,QT_MAT_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_DIURNO,QT_CONC_NOTURNO,QT_CONC_0_17,QT_CONC_18_24,QT_CONC_25_29,QT_CONC_30_34,QT_CONC_35_39,QT_CONC_40_49,QT_CONC_50_59,QT_CONC_60_MAIS,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_NACBRAS,QT_ING_NACESTRANG,QT_MAT_NACBRAS,QT_MAT_NACESTRANG,QT_CONC_NACBRAS,QT_CONC_NACESTRANG,QT_ALUNO_DEFICIENTE,QT_ING_DEFICIENTE,QT_MAT_DEFICIENTE,QT_CONC_DEFICIENTE,QT_ING_FINANC,QT_ING_FINANC_REEMB,QT_ING_FIES,QT_ING_RPFIES,QT_ING_FINANC_REEMB_OUTROS,QT_ING_FINANC_NREEMB,QT_ING_PROUNII,QT_ING_PROUNIP,QT_ING_NRPFIES,QT_ING_FINANC_NREEMB_OUTROS,QT_MAT_FINANC,QT_MAT_FINANC_REEMB,QT_MAT_FIES,QT_MAT_RPFIES,QT_MAT_FINANC_REEMB_OUTROS,QT_MAT_FINANC_NREEMB,QT_MAT_PROUNII,QT_MAT_PROUNIP,QT_MAT_NRPFIES,QT_MAT_FINANC_NREEMB_OUTROS,QT_CONC_FINANC,QT_CONC_FINANC_REEMB,QT_CONC_FIES,QT_CONC_RPFIES,QT_CONC_FINANC_REEMB_OUTROS,QT_CONC_FINANC_NREEMB,QT_CONC_PROUNII,QT_CONC_PROUNIP,QT_CONC_NRPFIES,QT_CONC_FINANC_NREEMB_OUTROS,QT_ING_RESERVA_VAGA,QT_ING_RVREDEPUBLICA,QT_ING_RVETNICO,QT_ING_RVPDEF,QT_ING_RVSOCIAL_RF,QT_ING_RVOUTROS,QT_MAT_RESERVA_VAGA,QT_MAT_RVREDEPUBLICA,QT_MAT_RVETNICO,QT_MAT_RVPDEF,QT_MAT_RVSOCIAL_RF,QT_MAT_RVOUTROS,QT_CONC_RESERVA_VAGA,QT_CONC_RVREDEPUBLICA,QT_CONC_RVETNICO,QT_CONC_RVPDEF,QT_CONC_RVSOCIAL_RF,QT_CONC_RVOUTROS,QT_SIT_TRANCADA,QT_SIT_DESVINCULADO,QT_SIT_TRANSFERIDO,QT_SIT_FALECIDO,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPRIVADA,QT_ING_PROCNAOINFORMADA,QT_MAT_PROCESCPUBLICA,QT_MAT_PROCESCPRIVADA,QT_MAT_PROCNAOINFORMADA,QT_CONC_PROCESCPUBLICA,QT_CONC_PROCESCPRIVADA,QT_CONC_PROCNAOINFORMADA,QT_PARFOR,QT_ING_PARFOR,QT_MAT_PARFOR,QT_CONC_PARFOR,QT_APOIO_SOCIAL,QT_ING_APOIO_SOCIAL,QT_MAT_APOIO_SOCIAL,QT_CONC_APOIO_SOCIAL,QT_ATIV_EXTRACURRICULAR,QT_ING_ATIV_EXTRACURRICULAR,QT_MAT_ATIV_EXTRACURRICULAR,QT_CONC_ATIV_EXTRACURRICULAR,QT_MOB_ACADEMICA,QT_ING_MOB_ACADEMICA,QT_MAT_MOB_ACADEMICA,QT_CONC_MOB_ACADEMICA
13610,2012,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Rio de Janeiro,3304557.0,1.0,1,1,1,1,586,GEOGRAFIA,314326,Geografia,"""0312G01""",3,"Ciências sociais, comunicação e informação",31,Ciências sociais e comportamentais,312,Ciências sociais e políticas,1.0,1,1,1,1.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,21.0,28.0,49.0,0.0,0.0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,38.0,4.0,3.0,2.0,0.0,0.0,0.0,22.0,5.0,10.0,0.0,0.0,12.0,196.0,76.0,120.0,196.0,0.0,2.0,124.0,40.0,15.0,9.0,6.0,0.0,0.0,112.0,9.0,37.0,0.0,1.0,37.0,42.0,19.0,23.0,42.0,0.0,0.0,24.0,14.0,3.0,0.0,1.0,0.0,0.0,31.0,0.0,8.0,0.0,0.0,3.0,49.0,0.0,196.0,0.0,42.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,35.0,2.0,0.0,35.0,0.0,14.0,37.0,0.0,159.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,260.0,49.0,196.0,42.0,86.0,10.0,80.0,19.0,0.0,0.0,0.0,0.0
13611,2012,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Rio de Janeiro,3304557.0,1.0,1,1,1,1,586,GEOLOGIA,14327,Geologia,"""0532G02""",5,"Ciências naturais, matemática e estatística",53,Ciências físicas,532,Ciências da terra,1.0,1,1,1,1.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,986.0,986.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,26.0,25.0,51.0,0.0,0.0,21.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,5.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,6.0,0.0,0.0,11.0,204.0,82.0,122.0,204.0,0.0,0.0,161.0,29.0,10.0,4.0,0.0,0.0,0.0,142.0,6.0,26.0,0.0,1.0,29.0,33.0,11.0,22.0,33.0,0.0,0.0,20.0,10.0,2.0,1.0,0.0,0.0,0.0,26.0,0.0,4.0,0.0,1.0,2.0,50.0,1.0,203.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,22.0,0.0,0.0,30.0,0.0,21.0,31.0,0.0,173.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,239.0,51.0,204.0,33.0,77.0,7.0,72.0,15.0,0.0,0.0,0.0,0.0
13612,2012,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Rio de Janeiro,3304557.0,1.0,1,1,1,1,586,GESTÃO PÚBLICA PARA O DESENVOLVIMENTO ECONÔMICO E SOCIAL,1114296,Gestão pública,"""0413G12""",4,"Negócios, administração e direito",41,Negócios e administração,413,Gestão e administração,1.0,1,1,1,1.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1776.0,1776.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,64.0,41.0,105.0,0.0,0.0,3.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,89.0,6.0,4.0,2.0,2.0,0.0,0.0,39.0,5.0,14.0,1.0,0.0,46.0,230.0,113.0,117.0,230.0,0.0,1.0,195.0,18.0,8.0,3.0,5.0,0.0,0.0,90.0,19.0,21.0,2.0,1.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,30.0,0.0,0.0,99.0,0.0,6.0,103.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,105.0,230.0,0.0,66.0,7.0,60.0,0.0,0.0,0.0,0.0,0.0
13613,2012,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Rio de Janeiro,3304557.0,1.0,1,1,1,1,586,GRAVURA,14340,Artes visuais,"""0213A03""",2,Artes e humanidades,21,Artes,213,Belas artes,1.0,1,1,1,1.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,9.0,16.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,6.0,0.0,0.0,6.0,67.0,33.0,34.0,67.0,0.0,0.0,39.0,17.0,4.0,4.0,0.0,2.0,1.0,28.0,5.0,11.0,1.0,1.0,21.0,7.0,3.0,4.0,7.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,16.0,0.0,67.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,9.0,1.0,0.0,13.0,0.0,3.0,9.0,0.0,58.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,99.0,16.0,67.0,7.0,11.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0
13614,2012,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Rio de Janeiro,3304557.0,1.0,1,1,1,1,586,HISTÓRIA,14347,História,"""0222H01""",2,Artes e humanidades,22,Humanidades (exceto línguas),222,História e arqueologia,1.0,1,1,1,1.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,1766.0,1766.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,63.0,46.0,109.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,103.0,1.0,1.0,2.0,2.0,0.0,0.0,48.0,6.0,10.0,1.0,0.0,44.0,465.0,254.0,211.0,465.0,0.0,0.0,348.0,69.0,21.0,11.0,8.0,3.0,5.0,240.0,17.0,83.0,2.0,1.0,122.0,61.0,35.0,26.0,61.0,0.0,0.0,34.0,19.0,5.0,1.0,1.0,1.0,0.0,40.0,4.0,11.0,0.0,0.0,6.0,109.0,0.0,465.0,0.0,61.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,79.0,0.0,0.0,106.0,0.0,3.0,113.0,0.0,352.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,595.0,109.0,465.0,61.0,135.0,3.0,134.0,38.0,0.0,0.0,0.0,0.0
13615,2012,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Rio de Janeiro,3304557.0,1.0,1,1,1,1,586,HISTÓRIA,107716,História,"""0222H01""",2,Artes e humanidades,22,Humanidades (exceto línguas),222,História e arqueologia,1.0,1,1,1,1.0,90.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,2206.0,0.0,2206.0,0.0,0.0,0.0,0.0,0.0,96.0,43.0,53.0,0.0,96.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,53.0,19.0,10.0,4.0,7.0,2.0,0.0,27.0,10.0,15.0,1.0,0.0,43.0,411.0,180.0,231.0,0.0,411.0,1.0,237.0,109.0,32.0,8.0,19.0,5.0,0.0,191.0,38.0,79.0,3.0,1.0,99.0,27.0,12.0,15.0,0.0,27.0,0.0,6.0,17.0,2.0,1.0,1.0,0.0,0.0,16.0,3.0,5.0,0.0,0.0,3.0,96.0,0.0,410.0,1.0,27.0,0.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,61.0,1.0,0.0,91.0,0.0,5.0,83.0,0.0,328.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,519.0,96.0,411.0,27.0,119.0,5.0,115.0,11.0,0.0,0.0,0.0,0.0
13616,2012,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Rio de Janeiro,3304557.0,1.0,1,1,1,1,586,HISTÓRIA,107717,História formação de professor,"""0114H01""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2.0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,12.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,4.0,1.0,0.0,0.0,0.0,10.0,3.0,6.0,0.0,0.0,5.0,29.0,13.0,16.0,0.0,29.0,0.0,13.0,8.0,3.0,3.0,1.0,1.0,0.0,16.0,2.0,7.0,0.0,0.0,4.0,14.0,7.0,7.0,0.0,14.0,0.0,8.0,5.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,2.0,24.0,0.0,29.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,29.0,0.0,0.0,14.0,4.0,0.0,3.0,0.0,44.0,24.0,29.0,14.0,7.0,7.0,7.0,4.0,0.0,0.0,0.0,0.0
13617,2012,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Rio de Janeiro,3304557.0,1.0,1,1,1,1,586,HISTÓRIA,314347,História formação de professor,"""0114H01""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2.0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,2.0,14.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,5.0,20.0,16.0,4.0,20.0,0.0,0.0,5.0,10.0,2.0,2.0,1.0,0.0,0.0,10.0,3.0,2.0,0.0,0.0,5.0,10.0,10.0,0.0,10.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,1.0,14.0,0.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,20.0,0.0,0.0,10.0,8.0,1.0,3.0,0.0,35.0,14.0,20.0,10.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0
13618,2012,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Rio de Janeiro,3304557.0,1.0,1,1,1,1,586,HISTÓRIA DA ARTE,113332,História da arte,"""0213H01""",2,Artes e humanidades,21,Artes,213,Belas artes,1.0,1,1,1,1.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1593.0,1593.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,45.0,24.0,69.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,56.0,4.0,2.0,1.0,3.0,1.0,0.0,28.0,5.0,7.0,1.0,0.0,28.0,190.0,146.0,44.0,190.0,0.0,2.0,143.0,22.0,6.0,4.0,6.0,7.0,0.0,75.0,14.0,29.0,2.0,0.0,70.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,190.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,30.0,1.0,0.0,65.0,0.0,4.0,63.0,0.0,127.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,250.0,69.0,190.0,1.0,47.0,1.0,46.0,1.0,0.0,0.0,0.0,0.0
13619,2012,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Rio de Janeiro,3304557.0,1.0,1,1,1,1,586,LETRAS,107783,Letras português outras línguas estrangeiras modernas,"""0231L21""",2,Artes e humanidades,23,Línguas,231,Letras,1.0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,21.0,11.0,32.0,0.0,0.0,6.0,9.0,7.0,2.0,6.0,1.0,1.0,8.0,7.0,12.0,1.0,0.0,4.0,7.0,3.0,4.0,7.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,30.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,45.0,1.0,32.0,7.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
13620,2012,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Rio de Janeiro,3304557.0,1.0,1,1,1,1,586,LETRAS,107788,Letras português alemão,"""0231L13""",2,Artes e humanidades,23,Línguas,231,Letras,1.0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63.0,42.0,21.0,63.0,0.0,0.0,26.0,20.0,10.0,3.0,1.0,2.0,1.0,45.0,1.0,7.0,1.0,0.0,9.0,15.0,12.0,3.0,15.0,0.0,0.0,10.0,3.0,1.0,0.0,1.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,63.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,27.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,61.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,104.0,1.0,63.0,15.0,20.0,0.0,19.0,6.0,0.0,0.0,0.0,0.0
13621,2012,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Rio de Janeiro,3304557.0,1.0,1,1,1,1,586,LETRAS,107790,Letras português línguas estrangeiras clássicas,"""0231L20""",2,Artes e humanidades,23,Línguas,231,Letras,1.0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,16.0,9.0,25.0,0.0,0.0,16.0,6.0,1.0,0.0,2.0,0.0,0.0,11.0,5.0,3.0,0.0,0.0,6.0,5.0,2.0,3.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,29.0,0.0,25.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
13622,2012,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Rio de Janeiro,3304557.0,1.0,1,1,1,1,586,LETRAS,107792,Letras português outras línguas estrangeiras modernas,"""0231L21""",2,Artes e humanidades,23,Línguas,231,Letras,1.0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,12.0,8.0,20.0,0.0,0.0,8.0,4.0,4.0,0.0,3.0,1.0,0.0,10.0,0.0,6.0,0.0,0.0,4.0,4.0,3.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,16.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,36.0,1.0,20.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
